N,Etiqueta,TS,ciudad,nodo_concentrador,nodo_estandar,nodo_backup,ruta,caja_codigo,color_buffer
1,UIO-Gosseal (A)-Whymper (E)(B)/Whymper (E)(A)-F02-PE16B-CAF,UIO,UIO,Gosseal (A),Whymper (E)(B),Whymper (E)(A),F02,PE16B,CAF
2,UIO-Gosseal (A)-Whymper (E)(A)/Whymper (E)(B)-F02-PE15B-CAF,UIO,UIO,Gosseal (A),Whymper (E)(A),Whymper (E)(B),F02,PE15B,CAF
3,UIO-Gosseal (A)-Whymper (E)(B)/Whymper (E)(A)-F02-PE14B-CAF,UIO,UIO,Gosseal (A),Whymper (E)(B),Whymper (E)(A),F02,PE14B,CAF
4,UIO-Gosseal (A)-Whymper (E)(A)/Whymper (E)(B)-F02-PE13B-CAF,UIO,UIO,Gosseal (A),Whymper (E)(A),Whymper (E)(B),F02,PE13B,CAF
5,UIO-Gosseal (A)-Whymper (E)(B)/Whymper (E)(A)-F02-PE12B-VER,UIO,UIO,Gosseal (A),Whymper (E)(B),Whymper (E)(A),F02,PE12B,VER
6,UIO-Gosseal (A)-Whymper (E)(A)/Whymper (E)(B)-F02-PE11B-VER,UIO,UIO,Gosseal (A),Whymper (E)(A),Whymper (E)(B),F02,PE11B,VER
7,UIO-Gosseal (A)-Whymper (E)(B)/Whymper (E)(A)-F02-PE10B-VER,UIO,UIO,Gosseal (A),Whymper (E)(B),Whymper (E)(A),F02,PE10B,VER
8,UIO-Gosseal (A)-Whymper (E)(A)/Whymper (E)(B)-F02-PE09B-VER,UIO,UIO,Gosseal (A),Whymper (E)(A),Whymper (E)(B),F02,PE09B,VER
9,UIO-Gosseal (A)-Whymper (E)(B)/Whymper (E)(A)-F02-PE08B-NAR,UIO,UIO,Gosseal (A),Whymper (E)(B),Whymper (E)(A),F02,PE08B,NAR
10,UIO-Gosseal (A)-Whymper (E)(A)/Whymper (E)(B)-F02-PE07B-NAR,UIO,UIO,Gosseal (A),Whymper (E)(A),Whymper (E)(B),F02,PE07B,NAR
11,UIO-Gosseal (A)-Whymper (E)(B)/Whymper (E)(A)-F02-PE06B-NAR,UIO,UIO,Gosseal (A),Whymper (E)(B),Whymper (E)(A),F02,PE06B,NAR
12,UIO-Gosseal (A)-Whymper (E)(A)/Whymper (E)(B)-F02-PE05B-NAR,UIO,UIO,Gosseal (A),Whymper (E)(A),Whymper (E)(B),F02,PE05B,NAR
13,UIO-Gosseal (A)-Whymper (E)(B)/Whymper (E)(A)-F02-PE04B-AZU,UIO,UIO,Gosseal (A),Whymper (E)(B),Whymper (E)(A),F02,PE04B,AZU
14,UIO-Gosseal (A)-Whymper (E)(A)/Whymper (E)(B)-F02-PE03B-AZU,UIO,UIO,Gosseal (A),Whymper (E)(A),Whymper (E)(B),F02,PE03B,AZU
15,UIO-Gosseal (A)-Whymper (E)(B)/Whymper (E)(A)-F02-PE02B-AZU,UIO,UIO,Gosseal (A),Whymper (E)(B),Whymper (E)(A),F02,PE02B,AZU
16,UIO-Gosseal (A)-Whymper (E)(A)/Whymper (E)(B)-F02-PE01B-AZU,UIO,UIO,Gosseal (A),Whymper (E)(A),Whymper (E)(B),F02,PE01B,AZU
17,UIO-Sur 2 (A)-Solanda (E)/Sur 2 (A)-F03-C19B-ROS,UIO,UIO,Sur 2 (A),Solanda (E),Sur 2 (A),F03,C19B,ROS
18,UIO-Sur 2 (A)-Solanda (E)/Sur 2 (A)-F03-C18B-ROS,UIO,UIO,Sur 2 (A),Solanda (E),Sur 2 (A),F03,C18B,ROS
19,UIO-Sur 2 (A)-Sur 2 (A)/Solanda (E)-F03-C17A-ROS,UIO,UIO,Sur 2 (A),Sur 2 (A),Solanda (E),F03,C17A,ROS
