N,Etiqueta,TS,ciudad,nodo_concentrador,nodo_estandar,nodo_backup,ruta,caja_codigo,color_buffer,tipo_ruta,clase,detalle_validacion
1.0,UIO-Gosseal (A)-Whymper (E)(B)/Whymper (E)(A)-F02-PE16B-CAF,UIO,UIO,Gosseal (A),Whymper (E)(B),Whymper (E)(A),F02,PE16B,CAF,ruta_completa,1,Etiqueta valida
2.0,UIO-Gosseal (A)-Whymper (E)(A)/Whymper (E)(B)-F02-PE15B-CAF,UIO,UIO,Gosseal (A),Whymper (E)(A),Whymper (E)(B),F02,PE15B,CAF,ruta_completa,1,Etiqueta valida
3.0,UIO-Gosseal (A)-Whymper (E)(B)/Whymper (E)(A)-F02-PE14B-CAF,UIO,UIO,Gosseal (A),Whymper (E)(B),Whymper (E)(A),F02,PE14B,CAF,ruta_completa,1,Etiqueta valida
4.0,UIO-Gosseal (A)-Whymper (E)(A)/Whymper (E)(B)-F02-PE13B-CAF,UIO,UIO,Gosseal (A),Whymper (E)(A),Whymper (E)(B),F02,PE13B,CAF,ruta_completa,1,Etiqueta valida
5.0,UIO-Gosseal (A)-Whymper (E)(B)/Whymper (E)(A)-F02-PE12B-VER,UIO,UIO,Gosseal (A),Whymper (E)(B),Whymper (E)(A),F02,PE12B,VER,ruta_completa,1,Etiqueta valida
6.0,UIO-Gosseal (A)-Whymper (E)(A)/Whymper (E)(B)-F02-PE11B-VER,UIO,UIO,Gosseal (A),Whymper (E)(A),Whymper (E)(B),F02,PE11B,VER,ruta_completa,1,Etiqueta valida
7.0,UIO-Gosseal (A)-Whymper (E)(B)/Whymper (E)(A)-F02-PE10B-VER,UIO,UIO,Gosseal (A),Whymper (E)(B),Whymper (E)(A),F02,PE10B,VER,ruta_completa,1,Etiqueta valida
8.0,UIO-Gosseal (A)-Whymper (E)(A)/Whymper (E)(B)-F02-PE09B-VER,UIO,UIO,Gosseal (A),Whymper (E)(A),Whymper (E)(B),F02,PE09B,VER,ruta_completa,1,Etiqueta valida
9.0,UIO-Gosseal (A)-Whymper (E)(B)/Whymper (E)(A)-F02-PE08B-NAR,UIO,UIO,Gosseal (A),Whymper (E)(B),Whymper (E)(A),F02,PE08B,NAR,ruta_completa,1,Etiqueta valida
10.0,UIO-Gosseal (A)-Whymper (E)(A)/Whymper (E)(B)-F02-PE07B-NAR,UIO,UIO,Gosseal (A),Whymper (E)(A),Whymper (E)(B),F02,PE07B,NAR,ruta_completa,1,Etiqueta valida
11.0,UIO-Gosseal (A)-Whymper (E)(B)/Whymper (E)(A)-F02-PE06B-NAR,UIO,UIO,Gosseal (A),Whymper (E)(B),Whymper (E)(A),F02,PE06B,NAR,ruta_completa,1,Etiqueta valida
12.0,UIO-Gosseal (A)-Whymper (E)(A)/Whymper (E)(B)-F02-PE05B-NAR,UIO,UIO,Gosseal (A),Whymper (E)(A),Whymper (E)(B),F02,PE05B,NAR,ruta_completa,1,Etiqueta valida
13.0,UIO-Gosseal (A)-Whymper (E)(B)/Whymper (E)(A)-F02-PE04B-AZU,UIO,UIO,Gosseal (A),Whymper (E)(B),Whymper (E)(A),F02,PE04B,AZU,ruta_completa,1,Etiqueta valida
14.0,UIO-Gosseal (A)-Whymper (E)(A)/Whymper (E)(B)-F02-PE03B-AZU,UIO,UIO,Gosseal (A),Whymper (E)(A),Whymper (E)(B),F02,PE03B,AZU,ruta_completa,1,Etiqueta valida
15.0,UIO-Gosseal (A)-Whymper (E)(B)/Whymper (E)(A)-F02-PE02B-AZU,UIO,UIO,Gosseal (A),Whymper (E)(B),Whymper (E)(A),F02,PE02B,AZU,ruta_completa,1,Etiqueta valida
16.0,UIO-Gosseal (A)-Whymper (E)(A)/Whymper (E)(B)-F02-PE01B-AZU,UIO,UIO,Gosseal (A),Whymper (E)(A),Whymper (E)(B),F02,PE01B,AZU,ruta_completa,1,Etiqueta valida
17.0,UIO-Sur 2 (A)-Solanda (E)/Sur 2 (A)-F03-C19B-ROS,UIO,UIO,Sur 2 (A),Solanda (E),Sur 2 (A),F03,C19B,ROS,ruta_completa,1,Etiqueta valida
18.0,UIO-Sur 2 (A)-Solanda (E)/Sur 2 (A)-F03-C18B-ROS,UIO,UIO,Sur 2 (A),Solanda (E),Sur 2 (A),F03,C18B,ROS,ruta_completa,1,Etiqueta valida
19.0,UIO-Sur 2 (A)-Sur 2 (A)/Solanda (E)-F03-C17A-ROS,UIO,UIO,Sur 2 (A),Sur 2 (A),Solanda (E),F03,C17A,ROS,ruta_completa,1,Etiqueta valida
20.0,UIO-Sur 2 (A)-Solanda (E)/Sur 2 (A)-F03-C16A-VIO,UIO,UIO,Sur 2 (A),Solanda (E),Sur 2 (A),F03,C16A,VIO,ruta_completa,1,Etiqueta valida
21.0,UIO-Sur 2 (A)-Sur 2 (A)/Solanda (E)-F03-C15A-VIO,UIO,UIO,Sur 2 (A),Sur 2 (A),Solanda (E),F03,C15A,VIO,ruta_completa,1,Etiqueta valida
22.0,UIO-Sur 2 (A)-Solanda (E)/Sur 2 (A)-F03-C14A-GRI,UIO,UIO,Sur 2 (A),Solanda (E),Sur 2 (A),F03,C14A,GRI,ruta_completa,1,Etiqueta valida
23.0,UIO-Sur 2 (A)-Sur 2 (A)/Solanda (E)-F03-C13A-GRI,UIO,UIO,Sur 2 (A),Sur 2 (A),Solanda (E),F03,C13A,GRI,ruta_completa,1,Etiqueta valida
24.0,UIO-Sur 2 (A)-Solanda (E)/Sur 2 (A)-F03-C12A-AZU,UIO,UIO,Sur 2 (A),Solanda (E),Sur 2 (A),F03,C12A,AZU,ruta_completa,1,Etiqueta valida
25.0,UIO-Sur 2 (A)-Sur 2 (A)/Solanda (E)-F03-C11A-AZU,UIO,UIO,Sur 2 (A),Sur 2 (A),Solanda (E),F03,C11A,AZU,ruta_completa,1,Etiqueta valida
26.0,UIO-Sur 2 (A)-Solanda (E)/Sur 2 (A)-F03-C10A-NEG,UIO,UIO,Sur 2 (A),Solanda (E),Sur 2 (A),F03,C10A,NEG,ruta_completa,1,Etiqueta valida
27.0,UIO-Sur 2 (A)-Sur 2 (A)/Solanda (E)-F03-C09A-CAF,UIO,UIO,Sur 2 (A),Sur 2 (A),Solanda (E),F03,C09A,CAF,ruta_completa,1,Etiqueta valida
28.0,UIO-Sur 2 (A)-Solanda (E)/Sur 2 (A)-F03-C08A-CEL,UIO,UIO,Sur 2 (A),Solanda (E),Sur 2 (A),F03,C08A,CEL,ruta_completa,1,Etiqueta valida
29.0,UIO-Sur 2 (A)-Sur 2 (A)/Solanda (E)-F03-C07A-CEL,UIO,UIO,Sur 2 (A),Sur 2 (A),Solanda (E),F03,C07A,CEL,ruta_completa,1,Etiqueta valida
30.0,UIO-Sur 2 (A)-Solanda (E)/Sur 2 (A)-F03-C06A-NAR,UIO,UIO,Sur 2 (A),Solanda (E),Sur 2 (A),F03,C06A,NAR,ruta_completa,1,Etiqueta valida
31.0,UIO-Sur 2 (A)-Sur 2 (A)/Solanda (E)-F03-C05A-NAR,UIO,UIO,Sur 2 (A),Sur 2 (A),Solanda (E),F03,C05A,NAR,ruta_completa,1,Etiqueta valida
32.0,UIO-Sur 2 (A)-Solanda (E)/Sur 2 (A)-F03-C04A-VER,UIO,UIO,Sur 2 (A),Solanda (E),Sur 2 (A),F03,C04A,VER,ruta_completa,1,Etiqueta valida
33.0,UIO-Sur 2 (A)-Sur 2 (A)/Solanda (E)-F03-C03A-VER,UIO,UIO,Sur 2 (A),Sur 2 (A),Solanda (E),F03,C03A,VER,ruta_completa,1,Etiqueta valida
